num_of_topics,c_v,u_mass,c_npmi,c_uci
1,0.6187807092906541,14.97182629763909,0.18023783008114258,4.9798752467258875
2,0.782143085561207,14.826273773333462,0.3585584535354405,5.887496457139063
3,0.3888662990269148,15.244160960505944,0.010622969090415995,9.907336200932441
4,0.6210294809908136,14.960099157975115,0.15099320115060963,4.172096329354141
5,0.6639229961100559,14.806452539579297,0.21302507569765328,5.8861003648241335
6,0.664760863143596,14.862681833068962,inf,9.907336200932441
7,0.350138356199808,14.864066424623541,inf,inf
8,0.567383112256826,14.92207669516929,0.12218846372241174,3.376192021236828
9,0.2998440179248145,14.60913373665061,0.03566757482432153,0.9855315131247894
10,0.5261814765989713,14.884154792605363,0.09652851402506193,2.665390274755564
11,0.5417914139476421,14.72416362532774,inf,inf
12,0.5626585487285715,14.723508601735022,0.1287393432490335,3.5571995117648174
13,0.5482149550755683,14.953087715871002,0.1212196209448758,3.3494219059927177
14,0.28978588475294326,14.763387917534226,0.029469800704627507,-0.8145505065750486
15,0.47369848174937307,14.929803300339001,inf,inf
16,0.5108085785015701,14.762739974010861,0.0856950625916957,2.3677912489043167
17,0.5776468187866509,14.765343929284688,inf,inf
18,0.5650706933182121,14.686437041314926,0.13349705198227324,3.688659862236403
19,0.30703945270141375,14.899050827091925,0.048270382467208814,1.3340652423630204
20,0.3234904684077909,14.823892157874463,0.009088263135385835,0.25191249509431773
40,0.2867952779930744,14.760291927771325,inf,inf
60,0.30823506467589057,14.902720970449218,0.03730065211545537,1.0306471162545023
80,0.3008762322325874,14.819276951376423,inf,inf
100,0.30065356339561494,14.713541125884765,inf,inf
