title,text,outlet_name,datetime,label,id
NATO criticises Russia for 'dangerous and irresponsible' nuclear move,"NATO has criticised Russia's plans to base tactical nuclear weapons in Belarus as ""dangerous and irresponsible"" as Ukraine pushed for an emergency UN meeting to discuss the issue.
The military alliance condemned the move after Russian President Vladimir Putin said Moscow plans to station the weapons in neighbouring Belarus.?
""NATO is vigilant, and we are closely monitoring the situation. We have not seen any changes in Russia's nuclear posture that would lead us to adjust our own,"" said NATO spokesperson Oana Lungescu.
Putin said he was responding to Britain's decision this past week to provide Ukraine with armour-piercing rounds containing depleted uranium.
The Russian leader earlier made a false claim that the rounds have nuclear components.
He subsequently toned down his language, but insisted in a state television interview broadcast Saturday night that the ammunition posed an additional danger to both troops and civilians in Ukraine.
Tactical nuclear weapons are intended for use on the battlefield, unlike more powerful, longer-range strategic nuclear weapons. Russia plans to maintain control over the ones it plans to Belarus, and construction of storage facilities for them will be completed by July 1, Putin said.
In an interview, Putin argued that by deploying its tactical nuclear weapons in Belarus, Russia was following the lead of the United States, noting that the US has nuclear weapons based in Belgium, Germany, Greece, Italy, the Netherlands and Turkey.

RUSSIA/UKRAINE CONFLICT

While US downplayed the move, saying there are no indications Russia will use nuclear weapons?, NATO said Putin's remarks were misleading.
This handout photo released by Ostorozhno Novosti reportedly shows a crater of about 15m in diameter and 5m deep, after an explosion that according to Russian authorities was caused by a Ukrainian drone in Kireyevsk, Russia, on March 26, 2023. (Ostorozhno Novosti via AP)
""Russia's reference to NATO's nuclear sharing is totally misleading,"" Lungescu said, referring to Putin's claims that his move would merely mirror those of Western nations.
""NATO allies act with full respect of their international commitments. Russia has consistently broken its arms control commitments, most recently suspending its participation in the New START Treaty,"" she said.

Ukraine's government on Sunday called for an emergency meeting of the UN Security Council to ""counter the Kremlin's nuclear blackmail"" after Putin revealed plans to station tactical atomic weapons in Belarus.
One Ukrainian official said that Russia ""took Belarus as a nuclear hostage.""
Further heightening tensions, an explosion deep inside Russia wounded three people Sunday. Russian authorities blamed a Ukrainian drone for the blast, which damaged residential buildings in a town just 175km south of Moscow.",9News,27/03/2023 06:13:00 AM,RIGHT,111
"Russia's nuclear rhetoric is dangerous and irresponsible, says Nato","The Nato said it is monitoring the situation closely after Russian President Vladimir Putin said Moscow will station tactical nuclear weapons in Belarus, which has borders with three Nato members - Poland, Lithuania and Latvia.

Russian President Vladimir Putin attends a joint statement with Chinese President Xi Jinping following their talks at the Kremlin in Moscow. (Photo: Reuters)

By Reuters: The North Atlantic Treaty Organisation (Nato) on Sunday criticised Russia for its ""dangerous and irresponsible"" nuclear rhetoric, a day after Russian President Vladimir Putin said Russia would station tactical nuclear weapons in Belarus.

""Nato is vigilant, and we are closely monitoring the situation. We have not seen any changes in Russia's nuclear posture that would lead us to adjust our own,"" a Nato spokesperson said.

""Russia's reference to Nato's nuclear sharing is totally misleading. Nato allies act with full respect of their international commitments. Russia has consistently broken its arms control commitments, most recently suspending its participation in the New START Treaty.""

READ | Tensions on the rise at revered Kyiv monastery complex amid war, religious conflict

Russia will station tactical nuclear weapons in neighbouring Belarus, President Vladimir Putin said on Saturday, marking the first time since the mid-1990s that Moscow will have based such arms outside the country.

Vladimir Putin made the announcement at a time of growing tensions with the West over the Ukraine war and as some Russian commentators speculate about possible nuclear strikes.

ALSO READ | Ukraine says Bakhmut situation is stabilising, Putin plays down tank shortage

""Tactical"" nuclear weapons refer to those used for specific gains in the battlefield rather than those with the capacity to wipe out cities. It is unclear how many such weapons Russia has, given it is an area still shrouded in Cold War secrecy.

Putin did not specify when the weapons would be transferred to Belarus, which has borders with three Nato members - Poland, Lithuania and Latvia.

Russia and Belarus have a close military relationship and Minsk allowed Moscow to use Belarusian territory to send troops into Ukraine last year. This January, the two nations stepped up joint military training.

ALSO READ | Russia will bomb any country if Putin gets arrested, says Dmitry Medvedev",India Today,26/03/2023 19:15:00 PM,RIGHT,112
"Russia’s nuclear rhetoric is dangerous and irresponsible, Nato says","BRUSSELS, March 26 — Nato today criticised Russia for its “dangerous and irresponsible” nuclear rhetoric, a day after Russian President Vladimir Putin said Russia would station tactical nuclear weapons in Belarus.

“Nato is vigilant, and we are closely monitoring the situation. We have not seen any changes in Russia’s nuclear posture that would lead us to adjust our own,” a Nato spokesperson said.

“Russia’s reference to Nato’s nuclear sharing is totally misleading. Nato allies act with full respect of their international commitments. Russia has consistently broken its arms control commitments, most recently suspending its participation in the New START Treaty.” — Reuters",Malaymail,26/03/2023 21:00:00 PM,RIGHT,113
NATO criticises Putin for 'dangerous and irresponsible' nuclear rhetoric,"NATO on Sunday criticised Vladimir Putin for what it called his ""dangerous and irresponsible"" nuclear rhetoric, a day after the Russian president said he would station tactical nuclear weapons in Belarus.

Putin announced the move on Saturday and likened it to the U.S. stationing its weapons in Europe, while insisting that Russia would not violate its nuclear non-proliferation promises.

Although the move was not unexpected, it is one of Russia's most pronounced nuclear signals since the beginning of its invasion of Ukraine 13 months ago, and Ukraine called for a meeting of the UN Security Council in response.

While Washington, the world's other nuclear superpower, played down concerns about Putin's announcement, NATO said the Russian president's non-proliferation pledge and his description of U.S. weapons deployment overseas were way off the mark.

""Russia's reference to NATO's nuclear sharing is totally misleading. NATO allies act with full respect of their international commitments,"" a NATO spokesperson said in emailed comments to Reuters on Sunday.

""Russia has consistently broken its arms control commitments, most recently suspending its participation in the New START Treaty,"" the unnamed spokesperson said.

New START caps the number of strategic nuclear warheads that the United States and Russia can deploy, and the deployment of land- and submarine-based missiles and bombers to deliver them.


A top security adviser to Ukrainian President Volodymyr Zelenskiy, Oleksiy Danilov, said Russia's plan would also destabilise Belarus, which he said had been taken ""hostage"" by Moscow.

Experts said Russia's move was significant since it had until now been proud that unlike the United States, it did not deploy nuclear weapons outside its borders. It may be the first time since the mid-1990s that it has done so.

Another senior Zelenskiy adviser on Sunday scoffed at Putin's plan, saying the Russian leader is ""too predictable"".

""Making a statement about tactical nuclear weapons in Belarus, he admits that he is afraid of losing & all he can do is scare with tactics,"" Mykhailo Podolyak wrote on Twitter.

Washington appeared to see no change in the potential for Moscow to use nuclear weapons in the war in Ukraine, and it and NATO said the news would not affect their own nuclear position.

""We have not seen any changes in Russia's nuclear posture that would lead us to adjust our own,"" the NATO spokesperson wrote.

Tactical nuclear weapons refer to those used for specific gains on a battlefield rather than those with the capacity to wipe out cities. It is unclear how many such weapons Russia has, given it is an area still shrouded in Cold War secrecy.

UKRAINE URGES UNSC MEETING

Ukraine's foreign ministry called for an extraordinary meeting of the U.N. Security Council after Putin's announcement, and it asked the international community to ""take decisive measures"" to prevent Russia's use of nuclear weapons.

""Russia once again confirms its chronic inability to be a responsible steward of nuclear weapons as a means of deterrence and prevention of war, not as a tool of threats and intimidation.""

Analysts at the Washington-based Institute for the Study of War (ISW) said the risk of escalation to nuclear war ""remains extremely low"".

But the International Campaign to Abolish Nuclear Weapons called Putin's announcement an extremely dangerous escalation.

""In the context of the war in Ukraine, the likelihood of miscalculation or misinterpretation is extremely high. Sharing nuclear weapons makes the situation much worse and risks catastrophic humanitarian consequences,"" it said on Twitter.


PUTIN DECRIES A WESTERN 'AXIS'

Putin said Belarusian President Alexander Lukashenko had long requested the deployment. There was no immediate reaction from Lukashenko.

While the Belarusian army has not formally fought in Ukraine, Minsk and Moscow have close military ties. Minsk allowed Moscow to use Belarusian territory to send troops into Ukraine last year.


Putin on Sunday also denied Moscow was creating a military alliance with Beijing and instead asserted that Western powers are building a new ""axis"" similar to the partnership between Germany and Japan during World War Two.

This was a reprisal of a theme he has often used in his portrayal of the Ukraine war - that Moscow is fighting a Ukraine in the grip of supposed Nazis, abetted by Western powers menacing Russia.

Ukraine - which was part of the Soviet Union and itself suffered devastation at the hands of Hitler's forces - rejects those parallels as spurious pretexts for a war of conquest.

On the battlefield, Russian forces hit military targets in Kharkiv, Donetsk, Zaporizhzhia and Kherson regions, causing significant Ukrainian casualties, Russia's defence ministry said on Sunday.

Ukrainian presidential chief of staff Andriy Yermak said Russian forces had also destroyed two apartment buildings in a missile strike on the eastern city of Avdiivka in the Donetsk region. He said there were no casualties.


Ukraine's General Staff said on Sunday Ukrainian forces had repelled 85 Russian attacks over the past 24 hours across the eastern front, including the Bakhmut area, the scene of brutal fighting in the last few months.

Reuters could not immediately verify the battlefield reports.",Economic Times India Times,26/03/2023 19:12:00 PM,RIGHT,114
"Russia's nuclear rhetoric is dangerous and irresponsible, NATO says","BRUSSELS (Reuters) - NATO on Sunday criticised Russia for its ""dangerous and irresponsible"" nuclear rhetoric, a day after Russian President Vladimir Putin said Russia would station tactical nuclear weapons in Belarus.

""NATO is vigilant, and we are closely monitoring the situation. We have not seen any changes in Russia's nuclear posture that would lead us to adjust our own,"" a NATO spokesperson said.

""Russia's reference to NATO's nuclear sharing is totally misleading. NATO allies act with full respect of their international commitments. Russia has consistently broken its arms control commitments, most recently suspending its participation in the New START Treaty.""

(Reporting by Foo Yun Chee;Editing by Elaine Hardcastle)",The Star,26/03/2023 20:30:00 PM,RIGHT,115
NATO criticizes Russia’s nuclear rhetoric as ‘dangerous and irresponsible’,"NATO on Sunday criticized Russia for its “dangerous and irresponsible” nuclear rhetoric, a day after Russian President Vladimir Putin said Russia would station tactical nuclear weapons in Belarus.

“NATO is vigilant, and we are closely monitoring the situation. We have not seen any changes in Russia’s nuclear posture that would lead us to adjust our own,” a NATO spokesperson said.

For the latest headlines, follow our Google News channel online or via the app.

“Russia’s reference to NATO’s nuclear sharing is totally misleading. NATO allies act with full respect of their international commitments. Russia has consistently broken its arms control commitments, most recently suspending its participation in the New START Treaty.”",Alarabiya News,26/03/2023 17:11:00 PM,RIGHT,116
,,,,,
,,,,,
,,,,,
,,,,,
